Total Area,Precursor Ion Formula,Replicate Name,Sample Name,Precursor Mz,sample name,
2609878272,C42H74N14O14[M+2H],18_Lumos_TA_IN_150_S1AD,,500.282723,AE1,H3K9acK14unmod
3363878656,C42H74N14O14[M+2H],20_Lumos_TA_IN_150_S1AD2,,500.282723,AM1,H3K9acK14unmod
2644411648,C42H74N14O14[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,500.282723,AM2,H3K9acK14unmod
1988666240,C42H74N14O14[M+2H],22_Lumos_TA_IN_150_S1AD2,,500.282723,AE2,H3K9acK14unmod
422210976,C42H74N14O14[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,500.282723,HET1,H3K9acK14unmod
1122047360,C42H74N14O14[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,500.282723,HET2,H3K9acK14unmod
16802106,C43H78N14O13[M+2H],18_Lumos_TA_IN_150_S1AD,,500.300915,AE1,H3K9me3K14unmod
31745974,C43H78N14O13[M+2H],20_Lumos_TA_IN_150_S1AD2,,500.300915,AM1,H3K9me3K14unmod
38559344,C43H78N14O13[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,500.300915,AM2,H3K9me3K14unmod
10439184,C43H78N14O13[M+2H],22_Lumos_TA_IN_150_S1AD2,,500.300915,AE2,H3K9me3K14unmod
716953408,C43H78N14O13[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,500.300915,HET1,H3K9me3K14unmod
2105681408,C43H78N14O13[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,500.300915,HET2,H3K9me3K14unmod
1292371072,C42H74N14O14[M+2H],18_Lumos_TA_IN_150_S1AD,,500.282723,AE1,H3K9unmodK14ac
1272510336,C42H74N14O14[M+2H],20_Lumos_TA_IN_150_S1AD2,,500.282723,AM1,H3K9unmodK14ac
1537878016,C42H74N14O14[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,500.282723,AM2,H3K9unmodK14ac
1112843904,C42H74N14O14[M+2H],22_Lumos_TA_IN_150_S1AD2,,500.282723,AE2,H3K9unmodK14ac
186285040,C42H74N14O14[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,500.282723,HET1,H3K9unmodK14ac
546261568,C42H74N14O14[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,500.282723,HET2,H3K9unmodK14ac
10812042,C42H76N14O13[M+2H],18_Lumos_TA_IN_150_S1AD,,493.29309,AE1,H3K9me3K14Ac
5925018,C42H76N14O13[M+2H],20_Lumos_TA_IN_150_S1AD2,,493.29309,AM1,H3K9me3K14Ac
5796396,C42H76N14O13[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,493.29309,AM2,H3K9me3K14Ac
1417484,C42H76N14O13[M+2H],22_Lumos_TA_IN_150_S1AD2,,493.29309,AE2,H3K9me3K14Ac
63442560,C42H76N14O13[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,493.29309,HET1,H3K9me3K14Ac
155098464,C42H76N14O13[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,493.29309,HET2,H3K9me3K14Ac
4453291008,C43H76N14O14[M+2H],18_Lumos_TA_IN_150_S1AD,,507.290548,AE1,H3K9unmodK14unmod
5321606144,C43H76N14O14[M+2H],20_Lumos_TA_IN_150_S1AD2,,507.290548,AM1,H3K9unmodK14unmod
6059042816,C43H76N14O14[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,507.290548,AM2,H3K9unmodK14unmod
2297721600,C43H76N14O14[M+2H],22_Lumos_TA_IN_150_S1AD2,,507.290548,AE2,H3K9unmodK14unmod
